MALATYA GÜNCEL İLÇE VE MAHALLELERİ
=================================

[Akçadağ]
[Battalgazi]
Adagören Mahallesi, Battalgazi, Malatya
Ağılyazı Mahallesi, Battalgazi, Malatya
Akpınar Mahallesi, Battalgazi, Malatya
Alacakapı Mahallesi, Battalgazi, Malatya
Alhanuşağı Mahallesi, Battalgazi, Malatya
Alişar Mahallesi, Battalgazi, Malatya
Aslanbey Mahallesi, Battalgazi, Malatya
Ataköy Mahallesi, Battalgazi, Malatya
Bağtepe Mahallesi, Battalgazi, Malatya
Bahçelievler Mahallesi, Battalgazi, Malatya
Bahri (Erenli) Mahallesi, Battalgazi, Malatya
Başharık Mahallesi, Battalgazi, Malatya
Battalgazi Mahallesi, Battalgazi, Malatya
Beydağı Mahallesi, Battalgazi, Malatya
Beylerbaşı Mahallesi, Battalgazi, Malatya
Boran Mahallesi, Battalgazi, Malatya
Bulgurlu Mahallesi, Battalgazi, Malatya
Bulutlu Mahallesi, Battalgazi, Malatya
Büyükhüseyinbey Mahallesi, Battalgazi, Malatya
Büyükmustafapaşa Mahallesi, Battalgazi, Malatya
Cevherizade Mahallesi, Battalgazi, Malatya
Cirikpınar Mahallesi, Battalgazi, Malatya
Çamurlu Mahallesi, Battalgazi, Malatya
Çolaklı Mahallesi, Battalgazi, Malatya
Çolakoğlu Mahallesi, Battalgazi, Malatya
Çöşnük Mahallesi, Battalgazi, Malatya
Dabakhane Mahallesi, Battalgazi, Malatya
Dolamantepe Mahallesi, Battalgazi, Malatya
Düzyol Mahallesi, Battalgazi, Malatya
Ferhadiye Mahallesi, Battalgazi, Malatya
Fırat Mahallesi, Battalgazi, Malatya
Fırıncı Mahallesi, Battalgazi, Malatya
Göller Mahallesi, Battalgazi, Malatya
Göztepe Mahallesi, Battalgazi, Malatya
Gülümuşağı Mahallesi, Battalgazi, Malatya
Hacıabdi Mahallesi, Battalgazi, Malatya
Hacıhaliloğluçifliği Mahallesi, Battalgazi, Malatya
Hacıyusuflar Mahallesi, Battalgazi, Malatya
Halfettin Mahallesi, Battalgazi, Malatya
Hamidiye Mahallesi, Battalgazi, Malatya
Hanımınçiftliği Mahallesi, Battalgazi, Malatya
Hasanvarol Mahallesi, Battalgazi, Malatya
Hasırcılar Mahallesi, Battalgazi, Malatya
Hatunsuyu Mahallesi, Battalgazi, Malatya
Hidayet Mahallesi, Battalgazi, Malatya
Hisartepe Mahallesi, Battalgazi, Malatya
İskender Mahallesi, Battalgazi, Malatya
İsmetiye Mahallesi, Battalgazi, Malatya
İstiklal Mahallesi, Battalgazi, Malatya
İzzetiye Mahallesi, Battalgazi, Malatya
Kadıçayırı Mahallesi, Battalgazi, Malatya
Kamıştaş Mahallesi, Battalgazi, Malatya
Kapıkaya Mahallesi, Battalgazi, Malatya
Karabağlar Mahallesi, Battalgazi, Malatya
Karagöz Mahallesi, Battalgazi, Malatya
Karahan Mahallesi, Battalgazi, Malatya
Karakaşçiftliği Mahallesi, Battalgazi, Malatya
Karaköy Mahallesi, Battalgazi, Malatya
Karatepe Mahallesi, Battalgazi, Malatya
Kavaklıbağ Mahallesi, Battalgazi, Malatya
Kemerköprü Mahallesi, Battalgazi, Malatya
Kernek Mahallesi, Battalgazi, Malatya
Kıraç Mahallesi, Battalgazi, Malatya
Kırçuval Mahallesi, Battalgazi, Malatya
Kuluşağı Mahallesi, Battalgazi, Malatya
Küçükhüseyinbey Mahallesi, Battalgazi, Malatya
Küçükmustafapaşa Mahallesi, Battalgazi, Malatya
Merdivenler Mahallesi, Battalgazi, Malatya
Merkezbeydağı Mahallesi, Battalgazi, Malatya
Meydanbaşı Mahallesi, Battalgazi, Malatya
Meydancık Mahallesi, Battalgazi, Malatya
Niyazi Mahallesi, Battalgazi, Malatya
Nuriye Mahallesi, Battalgazi, Malatya
Orduzu Mahallesi, Battalgazi, Malatya
Paşaköşkü Mahallesi, Battalgazi, Malatya
Pelitli Mahallesi, Battalgazi, Malatya
Sancaktar Mahallesi, Battalgazi, Malatya
Saray Mahallesi, Battalgazi, Malatya
Sarıcıoğlu Mahallesi, Battalgazi, Malatya
Selçuklu Mahallesi, Battalgazi, Malatya
Selvidağ Mahallesi, Battalgazi, Malatya
Serintepe Mahallesi, Battalgazi, Malatya
Şehitfevzi Mahallesi, Battalgazi, Malatya
Şıkşık Mahallesi, Battalgazi, Malatya
Şifa Mahallesi, Battalgazi, Malatya
Şişman Mahallesi, Battalgazi, Malatya
Tandoğan Mahallesi, Battalgazi, Malatya
Tanışık Mahallesi, Battalgazi, Malatya
Taştepe Mahallesi, Battalgazi, Malatya
Tokluca Mahallesi, Battalgazi, Malatya
Toptaş Mahallesi, Battalgazi, Malatya
Toygar Mahallesi, Battalgazi, Malatya
Uçbağlar Mahallesi, Battalgazi, Malatya
Uluköy Mahallesi, Battalgazi, Malatya
Üniversite Mahallesi, Battalgazi, Malatya
Üzümlü Mahallesi, Battalgazi, Malatya
Yamaç Mahallesi, Battalgazi, Malatya
Yarımcahan Mahallesi, Battalgazi, Malatya
Yaygın Mahallesi, Battalgazi, Malatya
Yenice Mahallesi, Battalgazi, Malatya
Yenihamam Mahallesi, Battalgazi, Malatya
Yeniköy Mahallesi, Battalgazi, Malatya
Yıldıztepe Mahallesi, Battalgazi, Malatya
Zafer Mahallesi, Battalgazi, Malatya

[Darende]
Ağılbaşı Mahallesi, Darende, Malatya
Ağılyazı Mahallesi, Darende, Malatya
Akbaba Mahallesi, Darende, Malatya
Akçatoprak Mahallesi, Darende, Malatya
Akova Mahallesi, Darende, Malatya
Ayvalı Mahallesi, Darende, Malatya
Balaban Mahallesi, Darende, Malatya
Barındır Mahallesi, Darende, Malatya
Başkaya Mahallesi, Darende, Malatya
Baytarbağı Mahallesi, Darende, Malatya
Beybağı Mahallesi, Darende, Malatya
Çaybaşı Mahallesi, Darende, Malatya
Çınar Mahallesi, Darende, Malatya
Çukurkaya Mahallesi, Darende, Malatya
Gaziköy Mahallesi, Darende, Malatya
Gökçeören Mahallesi, Darende, Malatya
Gökyar Mahallesi, Darende, Malatya
Göllüce Mahallesi, Darende, Malatya
Güdül Mahallesi, Darende, Malatya
Günerli Mahallesi, Darende, Malatya
Günpınar Mahallesi, Darende, Malatya
Hacıderviş Mahallesi, Darende, Malatya
Hacılar Sıragoz Mahallesi, Darende, Malatya
Hacılar Şeyhli Mahallesi, Darende, Malatya
Hacolar Mahallesi, Darende, Malatya
Heyiketeği Mahallesi, Darende, Malatya
Hisarcık Mahallesi, Darende, Malatya
Hisarkale Mahallesi, Darende, Malatya
Ilıca Mahallesi, Darende, Malatya
Irmaklı Mahallesi, Darende, Malatya
İbrahimpaşa Mahallesi, Darende, Malatya
Kaldırım Mahallesi, Darende, Malatya
Karabacak Mahallesi, Darende, Malatya
Karabayır Mahallesi, Darende, Malatya
Karaoğuz Mahallesi, Darende, Malatya
Kavak Mahallesi, Darende, Malatya
Kaynak Mahallesi, Darende, Malatya
Kerimli Mahallesi, Darende, Malatya
Kılıçbağı Mahallesi, Darende, Malatya
Kölükler Mahallesi, Darende, Malatya
Kurudere Mahallesi, Darende, Malatya
Kuzpınar Mahallesi, Darende, Malatya
Medişeyh Mahallesi, Darende, Malatya
Mehmetpaşa Mahallesi, Darende, Malatya
Mollauşağı Mahallesi, Darende, Malatya
Nadir Mahallesi, Darende, Malatya
Nurkuyusu Mahallesi, Darende, Malatya
Ozan Mahallesi, Darende, Malatya
Palanga Mahallesi, Darende, Malatya
Sakarya Mahallesi, Darende, Malatya
Sandıkkaya Mahallesi, Darende, Malatya
Sayfiye Mahallesi, Darende, Malatya
Sungur Mahallesi, Darende, Malatya
Şendere Mahallesi, Darende, Malatya
Şuğul Mahallesi, Darende, Malatya
Ulupınar Mahallesi, Darende, Malatya
Uzunhasan Mahallesi, Darende, Malatya
Üçpınar Mahallesi, Darende, Malatya
Yarımca Mahallesi, Darende, Malatya
Yavuzlar Mahallesi, Darende, Malatya
Yazıköy Mahallesi, Darende, Malatya
